"Compound","rt","mz","240927_50MeOH_pos_P2A1_1_9665","240927_50MeOH_pos_P2A1_1_9666","240927_50MeOH_pos_P2A1_1_9667","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9668","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9669","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9670","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9671","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9672","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9673","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9674","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9675","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9676","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9725","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9726","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9727","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9728","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9729","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9730","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9731","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9732","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9733","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9782","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9783","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9784","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9785","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9786","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9787","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9788","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9789","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9790"
"373.73789 Da 202.01 s",3.37,374.74517,0,0,0,0,0,0,0,0,0,2526,2440,0,0,2394,0,0,0,0,2808,0,0,0,0,0,0,0,0,2522,0,2998
"747.27045 Da 202.06 s",3.37,748.27773,0,0,0,0,0,0,0,0,0,650,3020,0,0,2552,0,0,0,0,2808,0,0,0,0,0,0,0,0,1662,0,2594
"715.57246 Da 202.07 s",3.37,716.57974,0,0,0,0,0,0,0,0,0,3292,514,0,0,2284,0,0,0,0,2170,0,0,0,0,0,0,0,0,3162,0,428
"711.45503 Da 202.11 s",3.37,356.73479,0,0,0,0,0,0,0,0,0,4882,5314,0,0,4616,0,0,0,0,5892,0,0,0,0,0,0,0,0,5362,0,4770
"749.48368 Da 202.17 s",3.37,750.49096,0,0,0,92,0,0,0,220,46,479662,480572,3770,96,478526,4052,896,480,346,476836,3140,676,0,0,568,0,72,0,464048,3244,477066
"747.98929 Da 202.17 s",3.37,748.99657,0,0,0,0,0,0,0,0,0,9144,9572,0,0,9004,0,0,0,0,8936,0,0,0,0,0,0,0,0,9532,0,9596
"1498.02574 Da 202.18 s",3.37,750.02015,0,0,0,0,0,0,0,0,0,3596,3806,0,0,3140,0,0,0,0,3332,0,0,0,0,0,0,0,0,3164,0,3254
"747.94536 Da 202.29 s",3.37,748.95264,0,0,0,0,0,0,0,0,0,9966,9692,0,0,9570,0,0,0,0,10002,0,0,0,0,0,0,0,0,9318,0,9832
"1495.13749 Da 202.33 s",3.37,748.57602,0,0,40,0,0,0,0,0,0,21888,22858,0,0,22240,0,130,0,0,23718,0,0,0,0,0,0,0,0,23428,0,24246
"747.64176 Da 202.34 s",3.37,748.64903,0,0,0,0,0,0,0,0,0,6844,6168,0,0,6190,0,0,0,0,5834,0,0,0,0,0,0,0,0,6182,0,5836
"747.24284 Da 202.40 s",3.37,748.25012,0,0,0,0,0,0,0,0,0,802,2664,0,0,2316,0,0,0,0,2194,0,0,0,0,0,0,0,0,2262,0,2110
"747.19951 Da 202.49 s",3.37,748.20679,0,0,0,0,0,0,0,0,0,988,2388,0,0,2100,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,1946
"748.86997 Da 202.50 s",3.37,749.87724,0,0,0,0,0,0,0,0,0,6526,6278,0,0,6080,0,0,0,0,6208,0,0,0,0,0,0,0,0,6034,0,5924
"748.26551 Da 202.51 s",3.38,749.27279,0,0,0,0,0,0,0,0,0,14622,15212,0,0,14074,0,0,0,0,13836,62,0,0,0,0,0,0,0,14292,0,14650
"748.01734 Da 202.69 s",3.38,749.02462,0,0,0,0,0,0,0,0,0,5408,5578,0,0,4932,0,0,0,0,4836,0,0,0,0,0,0,0,0,5178,0,2104
"747.33336 Da 202.72 s",3.38,748.34064,0,0,0,0,0,0,0,0,0,936,2774,0,0,742,0,0,0,0,3184,0,0,0,0,0,0,0,0,0,0,3930
"749.51417 Da 202.98 s",3.38,750.52145,0,0,0,0,0,0,0,54,0,12006,16170,374,0,12650,0,0,0,0,13796,294,0,0,0,0,0,0,0,6640,328,14694
"716.69624 Da 203.16 s",3.39,717.70352,0,0,0,0,0,0,0,0,0,6406,854,0,0,6200,0,0,0,0,574,0,0,0,0,0,0,0,0,5866,0,472
"747.30668 Da 203.27 s",3.39,748.31395,0,0,0,0,0,0,0,0,0,3642,0,0,0,1736,0,0,0,0,3554,0,0,0,0,0,0,0,0,1390,0,3260
"747.67987 Da 205.00 s",3.42,748.68714,0,0,0,0,0,0,0,0,0,7716,1418,0,0,6864,0,0,0,0,6180,0,0,0,0,0,0,0,0,2916,0,6796
"748.43955 Da 205.28 s",3.42,749.44683,0,0,0,0,0,0,0,0,0,7064,6446,0,0,6772,0,0,0,0,7224,0,0,0,0,0,0,0,0,6562,0,4534
"741.47892 Da 206.27 s",3.44,742.4862,0,0,0,0,0,0,0,0,0,9380,0,0,0,9814,0,0,0,0,0,0,0,0,0,0,0,0,0,9098,0,0
"741.68326 Da 206.44 s",3.44,742.69054,0,0,0,0,0,0,0,0,0,4434,0,0,0,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,86
"211.15578 Da 207.58 s",3.46,212.16306,1832,2092,2066,1796,1364,1282,1264,1190,1608,1504,1664,1888,1506,1178,1696,1652,2048,1822,1158,1458,1698,1990,1432,1440,1650,1104,1556,1096,1698,1170
"759.47593 Da 209.78 s",3.5,760.48321,0,0,0,0,0,0,0,0,0,1520,2806,0,0,1778,0,0,0,0,3000,0,0,0,0,0,0,0,0,2112,0,2582
"768.36294 Da 211.18 s",3.52,385.18874,0,0,0,0,70,0,0,0,0,2474,262,0,0,2360,92,0,0,0,202,0,0,0,66,0,0,0,0,2282,0,0
"688.29639 Da 211.18 s",3.52,345.15547,160,0,0,72,76,192,0,102,56,2390,302,136,166,2136,294,0,114,0,0,150,154,84,138,178,0,126,144,2252,0,262
"1550.98978 Da 212.20 s",3.54,776.50217,0,0,0,0,0,0,0,0,0,3554,4356,0,0,3390,128,0,0,0,4144,0,0,0,0,0,0,0,0,3340,0,3778
"739.42674 Da 212.69 s",3.54,740.43402,0,0,0,0,0,0,0,0,0,3724,4310,0,0,3564,0,0,0,0,4622,0,0,0,0,0,0,0,0,3896,0,4326
"761.52405 Da 213.85 s",3.56,762.53133,0,0,0,0,0,0,0,0,0,12010,9796,0,0,11222,0,0,0,0,9098,0,0,0,0,0,0,0,0,9760,0,8642
"144.06816 Da 214.51 s",3.58,145.07544,2346,2328,1534,2664,1934,2088,1564,1404,1422,1784,2122,1836,1888,1262,1878,2470,1900,2526,1788,2458,2394,2714,2080,2296,1712,1692,1934,1508,2176,1846
"637.32191 Da 215.50 s",3.59,638.32919,0,0,0,0,0,0,0,0,0,3978,1014,0,0,3934,0,0,0,0,870,0,0,0,0,0,0,0,0,4600,0,814
"273.26609 Da 218.71 s",3.65,274.27337,72054,62466,84560,95094,88514,109698,110128,70176,116228,55854,69106,131678,149650,72216,147668,157470,142338,137884,85772,144598,140130,120694,126180,132576,120290,121714,133196,69072,124332,76146
"451.16110 Da 219.20 s",3.65,452.16838,214,0,0,0,2280,6826,3468,1668,1454,2150,10430,2892,150,1770,11246,3250,1446,2530,2888,2648,1306,164,1390,2276,2556,2656,2746,1202,11422,6408
"300.27720 Da 219.84 s",3.66,301.28448,1218,860,964,1672,2082,2026,1516,778,2036,1688,1650,3042,2712,2758,3112,2094,2866,2976,1828,3066,3144,3486,2848,4412,4546,3956,2402,2402,2962,1808
"1517.96848 Da 219.89 s",3.66,759.99152,0,0,0,0,0,0,0,0,0,2074,1892,102,0,1976,88,0,0,0,2096,0,0,0,0,0,0,0,0,1560,82,2186
"578.24944 Da 219.89 s",3.66,290.132,0,0,0,0,0,0,0,0,3044,2550,0,0,0,2874,0,0,3494,0,0,0,0,0,0,0,2142,0,0,2946,0,0
"394.09377 Da 219.94 s",3.67,395.10105,0,62,68,0,704,1932,880,338,440,612,2862,792,0,514,3376,1014,476,722,878,702,586,0,614,862,752,642,930,350,2832,1570
"467.18309 Da 220.07 s",3.67,468.19037,0,0,0,116,2562,6326,2792,1206,1262,2074,8372,2116,248,1408,9002,2268,1116,1910,2130,1950,1020,86,1412,2062,2160,2360,2680,864,9014,4812
"317.29273 Da 220.16 s",3.67,318.3,352,340,506,546,478,598,684,590,904,744,406,840,1464,1328,1552,1326,2074,1752,1312,1466,1746,3668,3850,3702,3340,3262,4182,2466,3244,2132
"422.26637 Da 221.66 s",3.69,423.27364,0,0,0,0,0,0,40,0,3678,3148,0,0,98,2532,0,0,2992,0,0,0,0,104,0,0,2668,0,0,2648,0,0
"160.96156 Da 222.97 s",3.72,161.96884,2498,2368,2010,2450,3012,2438,2092,2422,2366,1762,1878,2192,2070,1554,1890,2300,2136,1870,1874,2086,2336,1742,2312,1974,1652,2058,1870,1466,1828,1504
"144.94662 Da 224.94 s",3.75,145.95389,1996,2040,1808,2114,2280,2464,2252,2046,2036,1922,1682,2008,2058,1610,2152,2202,2056,2098,2296,2062,1928,2282,1714,1866,1724,2234,1814,1876,2182,1772
"553.37316 Da 225.15 s",3.75,554.38044,0,0,0,0,0,0,0,0,312,5894,0,0,0,4686,0,0,120,0,0,0,0,0,0,0,172,0,0,4806,0,0
"716.93768 Da 227.61 s",3.79,717.94496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12878,0,0,0,0,0,0,0,12324,0,0,11888,0,0
"1434.87809 Da 227.68 s",3.79,718.44632,0,0,0,0,0,0,0,0,13940,14268,0,0,0,12422,0,0,11274,0,0,0,0,0,0,0,10502,0,0,10546,0,0
"1914.15193 Da 228.00 s",3.8,958.08324,0,0,0,0,0,0,0,0,1978,1546,0,0,0,0,0,0,3306,0,0,0,0,0,0,0,1700,0,0,3086,0,0
"465.67873 Da 228.47 s",3.81,466.68601,0,0,0,0,0,0,0,0,3496,4010,0,0,0,3500,0,0,3488,0,0,0,0,0,0,0,3354,0,0,4016,0,0
"1915.15355 Da 228.50 s",3.81,958.58405,0,0,0,0,0,0,0,0,3870,2732,0,0,0,2814,0,0,4596,0,0,0,0,0,0,0,4006,0,0,3086,0,0
"2364.49087 Da 228.58 s",3.81,1183.25271,0,0,0,0,0,0,0,0,4682,5898,0,0,0,5084,0,0,5120,0,0,0,0,0,0,0,4570,0,0,6030,0,0
"1449.84794 Da 228.63 s",3.81,725.93125,0,0,0,0,42,0,0,0,4944,3776,0,0,0,3724,0,0,3864,0,0,0,0,0,0,0,3158,0,0,1274,0,0
"1418.90099 Da 228.69 s",3.81,710.45777,0,0,98,0,0,96,0,60,3652,4140,0,108,0,3186,0,0,3222,0,0,0,0,0,0,0,3180,0,0,3778,0,0
"947.91284 Da 228.74 s",3.81,948.92012,0,0,0,0,0,0,0,0,5196,5016,0,0,0,4376,0,0,4502,0,0,0,0,0,0,0,4496,0,0,4922,0,0
"1884.20996 Da 228.79 s",3.81,943.11226,0,0,0,0,0,0,0,0,3388,3372,0,0,0,3842,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,0,0
"465.91246 Da 228.80 s",3.81,466.91974,0,0,0,0,0,0,56,0,4386,4460,0,0,0,3848,0,0,4270,0,0,0,0,0,0,0,4208,0,0,4858,0,0
"465.50812 Da 228.80 s",3.81,466.51539,0,0,0,0,0,0,0,0,9256,9974,0,0,0,9266,0,0,9370,0,0,0,0,0,0,0,9634,0,0,9970,0,0
"931.65753 Da 228.85 s",3.81,932.6648,0,0,0,0,0,0,0,0,8968,10868,0,0,0,9812,0,0,7676,0,0,0,0,0,0,0,10482,0,0,10222,0,0
"1396.82106 Da 228.85 s",3.81,466.6143,0,0,0,0,0,0,0,0,8126,8512,0,0,0,8226,0,0,8410,0,0,0,0,0,0,0,8270,0,0,8502,0,0
"947.68059 Da 228.85 s",3.81,948.68787,0,0,0,0,0,0,0,0,6384,7930,0,0,0,7592,0,0,6424,0,0,0,0,0,0,0,7512,0,0,6972,0,0
"2382.46262 Da 228.88 s",3.81,1192.23859,0,0,0,0,0,0,0,0,3112,1854,0,0,0,0,0,0,1986,0,0,0,0,0,0,0,2724,0,0,2246,0,0
"1417.89660 Da 228.90 s",3.82,709.95557,0,0,0,0,0,0,0,0,4058,3302,0,78,0,3338,0,0,3658,0,0,0,0,0,0,0,3392,0,0,2830,0,0
"948.06945 Da 228.94 s",3.82,949.07673,0,0,0,0,0,0,0,0,3566,3330,0,0,0,3384,0,0,3030,0,0,0,0,0,0,0,3288,0,0,2874,0,0
"465.64992 Da 228.95 s",3.82,466.65719,0,0,0,0,0,0,0,0,4244,4888,0,0,0,4492,0,0,4654,0,0,0,0,0,0,0,4534,0,0,4884,0,0
"930.89608 Da 228.98 s",3.82,931.90336,0,0,0,0,0,0,0,0,9860,10862,0,0,0,10410,0,0,10390,0,0,0,0,0,0,0,10654,0,0,11150,0,0
"987.53832 Da 229.01 s",3.82,988.5456,0,0,0,0,0,0,0,0,4400,5184,0,0,0,3930,0,0,4458,0,0,0,0,0,0,0,3716,0,0,3420,0,0
"1916.15360 Da 229.05 s",3.82,959.08408,0,0,0,0,0,0,0,0,6098,2732,0,0,0,5282,0,0,2692,0,0,0,0,0,0,0,2154,0,0,4364,0,0
"984.53373 Da 229.07 s",3.82,985.541,0,0,0,0,0,0,0,0,6290,5668,0,0,0,5866,0,0,5212,0,0,0,0,0,0,0,5374,0,0,5098,0,0
"968.56467 Da 229.07 s",3.82,485.28961,140,0,58,0,0,0,0,36,31460,32932,112,0,0,24764,0,0,30452,0,0,0,0,0,0,0,28988,0,0,29842,0,0
"930.75539 Da 229.10 s",3.82,931.76266,0,0,0,0,0,0,0,0,2276,3522,0,0,0,3064,0,0,2534,0,0,0,0,0,0,0,3156,0,0,4666,0,0
"2384.46785 Da 229.11 s",3.82,1193.2412,0,0,0,0,0,0,0,0,2814,2826,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,2104,0,0,2130,0,0
"947.60033 Da 229.11 s",3.82,948.60761,0,0,0,0,0,0,0,0,4290,3860,0,0,0,3948,0,0,3844,0,0,0,0,0,50,0,4402,0,0,4120,0,0
"931.04078 Da 229.12 s",3.82,932.04806,0,0,0,0,0,0,0,0,8934,9924,0,0,0,9038,0,0,9148,0,0,0,0,0,0,0,9146,0,0,9678,0,0
"932.58045 Da 229.16 s",3.82,933.58773,0,0,0,0,0,0,0,0,2842,0,0,0,0,2876,0,0,0,0,0,0,0,0,0,0,2738,0,0,3100,0,0
"931.51687 Da 229.17 s",3.82,932.52414,0,0,0,0,0,0,0,0,7984,8644,0,30,0,8150,0,0,8548,0,0,0,0,0,92,0,8084,0,0,8864,0,0
"2792.40805 Da 229.17 s",3.82,931.80996,0,0,0,0,0,0,0,0,5328,6414,0,0,0,5442,0,0,5550,0,0,0,0,0,0,0,5234,0,0,0,0,0
"1899.18307 Da 229.17 s",3.82,950.59881,0,0,0,0,0,0,0,0,0,11672,0,0,0,9726,0,0,10248,0,0,0,0,0,0,0,11250,0,0,11228,0,0
"465.55916 Da 229.18 s",3.82,466.56644,0,0,0,0,0,0,0,0,1728,2126,0,0,0,1616,0,0,1498,0,0,0,0,0,0,0,1782,0,0,2086,0,0
"429.46099 Da 229.20 s",3.82,430.46826,0,0,0,0,0,0,0,0,2658,2660,0,0,0,2198,0,0,2384,0,0,0,0,0,0,0,1558,0,0,1688,0,0
"932.14039 Da 229.21 s",3.82,933.14767,0,0,0,0,0,0,0,0,2640,3222,0,0,0,2830,0,0,2478,0,0,0,0,0,0,0,2690,0,0,2950,0,0
"931.18714 Da 229.22 s",3.82,932.19442,0,0,0,0,0,0,0,0,4526,4988,0,0,0,4468,0,0,4446,0,0,0,0,0,0,0,4614,0,0,5026,0,0
"465.71213 Da 229.23 s",3.82,466.71941,0,0,0,0,0,0,0,0,1948,2240,0,0,0,2286,0,0,1992,0,0,0,0,0,0,0,1984,0,0,2348,0,0
"1883.20474 Da 229.29 s",3.82,942.60964,0,0,0,0,0,0,0,0,3554,1792,0,0,0,2222,0,0,1720,0,0,0,0,0,0,0,1886,0,0,3158,0,0
"931.62117 Da 229.31 s",3.82,932.62844,0,0,0,0,0,0,0,0,646080,700056,0,0,0,657558,0,0,654038,0,0,0,0,0,0,0,662916,0,0,698274,0,0
"932.10367 Da 229.31 s",3.82,933.11095,0,0,0,0,0,0,0,0,3218,3820,0,0,0,3232,0,0,3334,0,0,0,0,0,0,0,2886,0,0,3560,0,0
"931.28988 Da 229.35 s",3.82,932.29716,0,0,0,0,0,0,0,0,3038,3602,0,0,0,2778,0,0,2714,0,0,0,0,0,0,0,2930,0,0,3124,0,0
"562.25273 Da 229.36 s",3.82,282.13364,128,0,0,104,128,0,0,0,2084,0,0,0,172,2690,188,94,2432,0,0,0,174,0,0,0,2366,0,0,2360,160,0
"1433.87490 Da 229.63 s",3.83,717.94473,0,0,0,0,0,0,0,0,16362,16948,0,0,0,13440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"544.28164 Da 229.69 s",3.83,273.1481,0,0,0,164,236,0,0,0,2254,1762,92,0,152,1700,106,0,0,272,0,0,148,52,0,0,1846,190,0,3050,0,0
"988.51455 Da 229.80 s",3.83,989.52183,0,0,0,0,0,0,0,0,0,206,3850,0,0,0,0,0,0,0,4610,0,0,0,0,0,0,0,0,310,0,4580
"948.68195 Da 229.87 s",3.83,949.68923,0,0,0,0,0,0,0,0,4322,3906,0,0,0,4504,0,0,4442,0,0,0,0,0,0,0,5470,0,0,5336,0,0
"2383.46786 Da 230.04 s",3.83,1192.74121,0,0,0,0,0,0,0,0,3112,2826,0,0,0,2684,0,0,0,0,0,0,0,0,0,0,2724,0,0,2246,0,0
"932.65602 Da 230.12 s",3.84,933.6633,0,0,0,0,0,0,0,0,4200,4192,0,0,0,2050,0,0,4674,0,0,0,0,0,0,0,4668,0,0,4098,0,0
"914.65901 Da 230.62 s",3.84,915.66629,0,0,0,0,0,0,0,0,7316,8166,0,0,0,7450,0,0,5820,0,0,0,0,0,0,0,7286,0,0,6420,0,0
"227.26075 Da 230.68 s",3.84,228.26802,1848,1938,2064,1984,1776,1916,2042,1750,0,0,1540,2212,1740,202,1624,1892,0,1496,1608,1604,1772,1230,1264,1124,376,1038,1218,178,1152,1188
"235.15456 Da 230.94 s",3.85,236.16184,1196,1682,1722,1910,1774,1822,1498,1350,78,54,868,1334,1256,166,1252,1686,430,1378,922,1164,1284,954,1556,1182,182,916,1046,102,1346,732
"898.76328 Da 231.68 s",3.86,899.77056,0,0,0,0,0,0,0,0,2206,2810,0,0,0,2502,0,0,2438,0,0,0,0,0,0,0,2224,0,0,1772,0,0
"1150.74948 Da 231.76 s",3.86,1151.75675,0,0,0,0,0,0,0,0,2406,2718,0,0,0,2378,0,0,2532,0,0,0,0,0,0,0,2414,0,0,2130,0,0
"952.58231 Da 231.84 s",3.86,477.29843,0,0,0,0,0,0,104,0,5232,6814,0,0,0,5440,0,0,5140,0,0,0,0,0,0,0,6296,0,0,7258,0,0
"1852.17903 Da 232.04 s",3.87,927.09679,0,0,0,0,0,0,0,0,4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4334,0,0,4718,0,0
"1150.24842 Da 232.12 s",3.87,1151.25569,0,0,0,0,0,0,0,0,2132,0,0,0,0,0,0,0,2328,0,0,0,0,0,0,0,0,0,0,0,0,0
"898.66542 Da 232.37 s",3.87,899.67269,0,0,0,0,0,0,0,0,11496,13088,0,0,0,14188,0,0,11702,0,0,0,0,0,0,0,9672,0,0,12634,68,0
"2300.49566 Da 232.48 s",3.87,1151.25511,0,0,0,0,0,0,0,0,0,2718,0,0,0,2752,0,0,0,0,0,0,0,0,0,0,2432,0,0,2130,0,0
"500.20874 Da 232.49 s",3.87,251.11165,0,0,0,0,0,0,0,0,1830,922,0,0,240,1034,0,0,1364,0,0,0,0,0,0,482,1778,0,0,0,0,242
"2302.50139 Da 232.75 s",3.88,1152.25797,0,0,0,0,0,0,0,0,0,2528,0,0,0,2276,0,0,2466,0,0,0,0,0,0,0,2256,0,0,1728,0,0
"173.99506 Da 232.96 s",3.88,88.00481,1382,1472,1310,1762,1152,1580,1564,1060,2692,3940,2008,1566,1350,4050,1782,1462,3784,1618,2640,1638,1154,1538,1242,1182,2404,1226,1686,2956,1562,2056
"1401.87158 Da 233.32 s",3.89,701.94307,0,0,0,0,0,0,0,0,6570,5904,0,0,0,5956,0,0,6026,0,0,0,0,0,0,0,5822,0,0,5746,0,0
"1404.86640 Da 233.35 s",3.89,703.44048,0,0,0,0,0,0,0,0,2804,2988,228,0,0,2662,0,0,2624,0,368,50,0,0,0,0,2524,0,0,1856,0,188
"87.49650 Da 233.60 s",3.89,88.50377,1316,0,1112,1630,1178,1452,1270,1184,2874,4384,1608,1162,1052,3226,1248,1248,2624,1202,1804,1338,1162,1016,952,1044,2082,1048,848,1672,1118,1462
"548.25634 Da 233.67 s",3.89,549.26362,0,124,0,0,0,0,0,0,2866,2942,0,0,0,2256,0,0,2934,0,0,0,0,0,44,0,2716,0,0,2174,0,0
"551.23803 Da 233.74 s",3.9,552.2453,0,0,0,0,0,0,0,0,3992,3190,0,34,0,2874,0,0,2752,38,0,0,0,0,0,0,3344,102,0,2788,0,0
"547.25988 Da 233.78 s",3.9,548.26715,0,0,0,0,0,0,0,0,3954,3576,0,0,0,2966,80,0,4272,0,0,0,0,0,0,0,3176,96,0,3004,0,36
"528.28517 Da 233.78 s",3.9,265.14986,0,0,116,0,0,0,0,0,4366,4172,0,0,0,4350,0,0,3708,0,0,0,0,0,0,0,0,0,0,3704,0,0
"564.30551 Da 233.80 s",3.9,283.16003,0,316,0,0,0,302,0,0,2544,2148,0,0,0,1860,296,0,1522,0,0,0,0,156,0,0,1486,0,0,1454,0,358
"920.59523 Da 233.83 s",3.9,461.30489,0,0,0,0,0,0,0,0,2422,1906,0,0,0,1576,0,0,2250,0,0,0,0,66,0,0,1932,0,0,1734,0,0
"546.29652 Da 233.84 s",3.9,274.15554,0,0,0,0,0,0,0,0,5484,5506,354,0,0,4530,348,0,4972,0,0,0,0,0,0,0,3996,0,0,4480,0,0
"549.23804 Da 233.86 s",3.9,550.24532,0,0,0,0,0,0,0,0,1902,2148,0,0,0,2874,0,0,2752,0,46,0,0,0,0,0,1552,0,0,2788,0,0
"469.24907 Da 234.00 s",3.9,235.63181,0,0,0,0,0,0,0,0,3844,4090,0,122,0,4014,84,0,3588,158,0,0,0,0,0,0,3618,192,0,2654,158,0
"230.07836 Da 234.87 s",3.91,231.08564,7192,7862,6784,7660,8192,8050,7402,6738,11494,10250,5514,6974,7122,9108,7198,7222,10570,7334,6042,6746,6344,7102,7076,6696,11104,5698,7168,6264,6282,6136
"203.08585 Da 234.91 s",3.92,204.09313,2494,2808,1862,2228,2452,2758,2086,2304,3414,2702,1782,2200,1792,2432,2494,2374,2838,2150,1966,1998,1642,2178,2190,2084,2426,1908,2358,1852,1870,1886
"202.08343 Da 234.91 s",3.92,203.09071,23450,21970,20428,24358,24142,24092,21292,19726,29502,24998,17034,23412,21332,25668,23786,22190,28276,23354,16950,20016,19042,21712,20362,20780,27772,17728,23034,19760,19318,18906
"156.04169 Da 234.92 s",3.92,157.04897,8410,7980,7952,7700,8924,8876,8570,7192,11306,9318,6022,8052,8154,9628,8054,7796,10066,8814,8146,7768,6134,8500,7950,6958,10366,6066,7866,7498,6822,7700
"293.14626 Da 234.96 s",3.92,294.15354,2138,1722,1350,1460,1512,1790,1594,1624,1982,1612,1160,1872,1264,2208,1378,1770,2238,1266,1060,1646,1150,1718,1284,1624,2350,1334,1412,1434,1414,1562
"45.05951 Da 234.98 s",3.92,46.06679,8764,8336,0,0,9260,10506,11242,0,7654,5014,6110,9504,15638,8080,14826,14980,11802,17294,10174,16378,15000,16000,16480,15974,12184,14832,17238,0,16554,10122
"321.17836 Da 234.99 s",3.92,322.18564,3108,3362,3530,3928,4272,4194,4650,4826,3442,2730,2570,5462,8648,5674,8254,9630,7560,9956,6264,8976,8444,9640,10120,10846,10278,9402,9774,5352,10204,5220
"559.34783 Da 237.92 s",3.97,560.3551,0,0,0,0,0,0,0,0,2524,1784,0,0,0,1608,0,0,2878,0,0,0,0,0,0,0,2440,0,0,0,0,0
"640.30213 Da 240.54 s",4.01,321.15834,0,0,0,268,0,158,0,0,518,3224,0,274,0,2698,0,370,850,482,220,0,0,0,0,0,0,0,0,2180,0,0
"640.26308 Da 240.55 s",4.01,321.13882,0,0,0,0,0,0,0,108,0,4110,0,0,0,3242,0,76,0,0,0,0,0,94,0,0,0,0,0,2994,104,0
"212.10153 Da 240.72 s",4.01,213.1088,2026,2214,2172,2126,2212,2438,2186,1804,906,918,1750,2708,1994,716,2112,2140,702,1886,1762,2146,1596,2186,1762,1900,748,1574,1764,824,1876,1398
"601.37224 Da 240.72 s",4.01,602.37952,0,0,0,0,60,0,0,0,0,12038,0,0,0,12426,0,0,0,0,0,0,0,0,0,0,36,0,0,10924,42,0
"556.34804 Da 242.82 s",4.05,557.35532,0,0,0,34,0,0,0,0,7860,3946,0,0,0,4086,0,0,7378,0,0,0,0,0,0,0,7366,0,0,2664,0,0
"162.06734 Da 243.42 s",4.06,163.07462,2096,1760,1700,1930,2232,1838,1842,2014,2182,1758,2240,1820,1694,1756,1802,1958,1932,1834,1466,1680,1620,1656,1616,1694,2148,1768,1874,1398,2028,1330
"422.28073 Da 243.64 s",4.06,423.28801,820,800,820,912,1072,764,830,1202,1122,1420,1102,1404,1530,1552,1712,1256,1806,1518,1448,1636,1560,1328,1356,1976,1894,2578,1652,1686,1776,1604
"256.13823 Da 244.86 s",4.08,257.14551,1006,0,936,1400,0,0,400,0,1468,1390,0,1106,1404,1320,0,1116,2688,0,0,1080,1460,1424,1428,1226,2756,1290,1384,1394,1562,0
"511.29670 Da 245.56 s",4.09,512.30398,0,296,0,158,150,0,0,156,0,8090,0,0,0,8160,54,50,0,112,0,0,0,0,0,0,0,0,0,7832,0,0
"279.05279 Da 245.85 s",4.1,280.06006,0,0,0,0,0,0,0,0,0,1702,2714,0,0,1430,0,0,0,0,2666,0,0,0,0,0,0,0,0,1368,0,2848
"232.10925 Da 245.98 s",4.1,233.11653,1144,1616,1656,1714,1710,2076,1578,2052,1936,2714,1700,1960,2072,2540,1918,1816,1940,1868,2244,1970,2376,1486,2140,2228,2366,2298,2508,2670,2068,2192
"615.38846 Da 247.87 s",4.13,616.39574,0,0,66,0,0,0,0,0,0,2642,0,0,0,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0
